key,species,latitude,longitude,type,date,info
0,Badger,48.60615,4.58455,Animal,06/05/2022,Placeholder Info
1,Fire Salamander,49.83559,7.14465,Animal,06/05/2022,Placeholder Info
2,Woodpecker,49.54252,17.98897,Animal,06/05/2022,Placeholder Info
3,Hare,49.97869,9.88964,Animal,06/05/2022,Placeholder Info
4,Wolf,47.61268,10.07486,Animal,06/05/2022,Placeholder Info
5,Stoat,50.43201,7.8189,Animal,06/05/2022,Placeholder Info
6,Woodpecker,51.02191,7.12789,Animal,06/05/2022,Placeholder Info
7,European Viper,47.34989,15.84095,Animal,06/05/2022,Placeholder Info
8,Fire Ant,47.88537,5.59725,Animal,06/05/2022,Placeholder Info
9,Rabbit,50.55795,6.96103,Animal,06/05/2022,Placeholder Info
10,European Viper,48.58504,13.65369,Animal,06/05/2022,Placeholder Info
11,Ortolan Bunting,50.13271,9.74489,Animal,06/05/2022,Placeholder Info
12,Wolf,48.72246,12.0511,Animal,06/05/2022,Placeholder Info
13,Rabbit,51.67549,8.72601,Animal,06/05/2022,Placeholder Info
14,Fire Salamander,48.39067,11.27929,Animal,06/05/2022,Placeholder Info
15,Fallow Deer,50.25461,10.21722,Animal,06/05/2022,Placeholder Info
16,Rabbit,49.62209,9.3835,Animal,06/05/2022,Placeholder Info
17,Fallow Deer,50.4205,10.7977,Animal,06/05/2022,Placeholder Info
18,Stoat,49.03608,7.29119,Animal,06/05/2022,Placeholder Info
19,European Viper,48.34774,13.89615,Animal,06/05/2022,Placeholder Info
20,Stoat,51.37319,7.71605,Animal,06/05/2022,Placeholder Info
21,Wolf,49.51458,18.15956,Animal,06/05/2022,Placeholder Info
22,European Viper,50.69221,13.30339,Animal,06/05/2022,Placeholder Info
23,Woodpecker,49.76971,15.91305,Animal,06/05/2022,Placeholder Info
24,Rabbit,51.99502,16.44337,Animal,06/05/2022,Placeholder Info
25,Rabbit,48.18565,5.12963,Animal,06/05/2022,Placeholder Info
26,European Viper,48.54019,18.20714,Animal,06/05/2022,Placeholder Info
27,Badger,47.52796,5.09257,Animal,06/05/2022,Placeholder Info
28,Hare,50.83139,17.97859,Animal,06/05/2022,Placeholder Info
29,Hare,47.39653,17.3324,Animal,06/05/2022,Placeholder Info
30,Badger,48.84733,5.16042,Animal,06/05/2022,Placeholder Info
31,Rabbit,48.80972,16.22559,Animal,06/05/2022,Placeholder Info
32,Hare,48.25885,11.08563,Animal,06/05/2022,Placeholder Info
33,Wolf,47.34028,18.05798,Animal,06/05/2022,Placeholder Info
34,European Viper,47.89787,6.8763,Animal,06/05/2022,Placeholder Info
35,Roe Deer,48.5546,11.45252,Animal,06/05/2022,Placeholder Info
36,Ortolan Bunting,47.71505,7.42657,Animal,06/05/2022,Placeholder Info
37,Badger,47.68753,6.93007,Animal,06/05/2022,Placeholder Info
38,Hare,50.08468,5.05995,Animal,06/05/2022,Placeholder Info
39,Fire Salamander,47.3622,9.54055,Animal,06/05/2022,Placeholder Info
40,Fallow Deer,50.72252,12.43238,Animal,06/05/2022,Placeholder Info
41,Rabbit,51.07489,18.11638,Animal,06/05/2022,Placeholder Info
42,Hare,50.80694,7.96206,Animal,06/05/2022,Placeholder Info
43,Fire Salamander,50.91045,6.40081,Animal,06/05/2022,Placeholder Info
44,Fire Salamander,51.09235,10.5558,Animal,06/05/2022,Placeholder Info
45,Roe Deer,47.27957,5.56398,Animal,06/05/2022,Placeholder Info
46,Stoat,51.45691,13.06128,Animal,06/05/2022,Placeholder Info
47,Ortolan Bunting,51.04612,10.26922,Animal,06/05/2022,Placeholder Info
48,Fire Salamander,48.7033,14.45865,Animal,06/05/2022,Placeholder Info
49,Stoat,50.63963,17.06036,Animal,06/05/2022,Placeholder Info
50,Wolf,49.41394,17.40072,Animal,06/05/2022,Placeholder Info
51,Roe Deer,50.78046,10.60107,Animal,06/05/2022,Placeholder Info
